BusinessName,BusinessType,RatingValue,InspectionDate,Address,PostCode,Province,user_rating,Hygiene_Score,Latitude,Longitude
Borough Bistro,Restaurant/Cafe/Shop,Pass,17/12/2024,Address_1,40100,Punjab,3.1,76.9,31.64101,74.331766
Bombay Darbar,Restaurant/Cafe/Shop,Pass,06/07/2025,Address_2,46000,Punjab,1.8,65.2,31.626452,74.357702
Solo Primi,Restaurant/Cafe/Shop,Pass,16/06/2025,Address_3,46000,Punjab,1.1,58.9,31.596634,74.207676
Mayfair Lion,Restaurant/Cafe/Shop,Pass,06/03/2025,Address_4,60000,Punjab,2.3,69.7,31.405379,74.231773
Mayfair Oak,Restaurant/Cafe/Shop,Pass,10/06/2024,Address_5,60000,Punjab,2.3,69.7,31.675653,74.310205
Chelsea Market (1),Restaurant/Cafe/Shop,Pass,11/07/2025,Address_6,46000,Punjab,4,85,31.442496,74.401895
Zaiqa Biryani (1),Restaurant/Cafe/Shop,Pass,14/02/2024,Address_7,38000,Punjab,3.5,80.5,31.440704,74.490283
Petra Grill,Restaurant/Cafe/Shop,Pass,08/03/2025,Address_8,40100,Punjab,2.2,68.8,31.508327,74.234631
Aegean Lebanon,Restaurant/Cafe/Shop,Pass,04/04/2024,Address_9,55150,Punjab,4.6,90.4,31.565105,74.321657
Osteria Bolognese,Restaurant/Cafe/Shop,Pass,27/05/2024,Address_10,60000,Punjab,1.1,58.9,31.536229,74.344084
El Greco Garden,Restaurant/Cafe/Shop,Pass,11/10/2025,Address_11,55150,Punjab,4.2,86.8,31.482534,74.239572
Chipotle Kitchen,Restaurant/Cafe/Shop,Pass,26/06/2025,Address_12,54000,Punjab,2.6,72.4,31.642802,74.265239
Fiesta Loco,Restaurant/Cafe/Shop,Improvement Required,09/06/2024,Address_13,46000,Punjab,1.1,44.9,31.418179,74.295461
Albion Grille,Restaurant/Cafe/Shop,Pass,10/01/2025,Address_14,46000,Punjab,1.7,64.3,31.643995,74.38034
Sweet Sins Grind,Restaurant/Cafe/Shop,Improvement Required,10/04/2025,Address_15,46000,Punjab,3.9,70.1,31.433657,74.482279
Amore Napoli,Restaurant/Cafe/Shop,Pass,04/01/2024,Address_16,46000,Punjab,4.3,87.7,31.498445,74.212524
Zaiqa Cafe,Restaurant/Cafe/Shop,Pass,23/07/2024,Address_17,54000,Punjab,1.8,65.2,31.637546,74.385921
La Taqueria Salsa,Restaurant/Cafe/Shop,Pass,07/09/2025,Address_18,46000,Punjab,1.4,61.6,31.434479,74.277164
Java Bakehouse,Restaurant/Cafe/Shop,Pass,26/08/2025,Address_19,46000,Punjab,1.2,59.8,31.671125,74.322849
The White Castle (1),Restaurant/Cafe/Shop,Pass,18/04/2024,Address_20,54000,Punjab,3.2,77.8,31.646907,74.465027
Sultan Mint,Restaurant/Cafe/Shop,Pass,20/10/2024,Address_21,60000,Punjab,2.3,69.7,31.59581,74.38937
Aegean Tree,Restaurant/Cafe/Shop,Pass,22/05/2024,Address_22,55150,Punjab,2.1,67.9,31.519576,74.2202
Cancun Cantina,Restaurant/Cafe/Shop,Improvement Required,08/07/2024,Address_23,54000,Punjab,2.8,60.2,31.460886,74.35585
Roma Bistro (1),Restaurant/Cafe/Shop,Improvement Required,12/06/2025,Address_24,60000,Punjab,1.8,51.2,31.452451,74.298191
Pizzeria Primi,Restaurant/Cafe/Shop,Pass,06/07/2024,Address_25,54000,Punjab,1.1,58.9,31.641912,74.209229
Chelsea Roast House,Restaurant/Cafe/Shop,Pass,11/02/2024,Address_26,46000,Punjab,3.8,83.2,31.617956,74.286595
La Piazza Enzo,Restaurant/Cafe/Shop,Pass,01/11/2024,Address_27,40100,Punjab,4.9,93.1,31.528318,74.380633
Senor Sol,Restaurant/Cafe/Shop,Pass,24/07/2025,Address_28,40100,Punjab,1.4,61.6,31.421216,74.203798
Pasta Olive,Restaurant/Cafe/Shop,Pass,18/09/2025,Address_29,46000,Punjab,1.6,63.4,31.688663,74.359173
Noodle Lantern,Restaurant/Cafe/Shop,Pass,24/11/2025,Address_30,38000,Punjab,4.8,92.2,31.473204,74.429467
Guacamole Bonita,Restaurant/Cafe/Shop,Pass,17/11/2024,Address_31,54000,Punjab,3.6,81.4,31.536537,74.212052
Lebanese Grill,Restaurant/Cafe/Shop,Pass,07/02/2024,Address_32,60000,Punjab,3.1,76.9,31.590991,74.256964
Gourmet Fresh,Restaurant/Cafe/Shop,Pass,26/02/2024,Address_33,54000,Punjab,2.6,72.4,31.641487,74.319729
El Sombrero Frog,Restaurant/Cafe/Shop,Pass,29/10/2025,Address_34,60000,Punjab,2.7,73.3,31.447133,74.320704
Milano Bella,Restaurant/Cafe/Shop,Pass,25/06/2024,Address_35,38000,Punjab,4.9,93.1,31.504039,74.463174
Mayfair Crown,Restaurant/Cafe/Shop,Pass,15/07/2025,Address_36,54000,Punjab,1,58,31.594748,74.271475
Turbo Wrap,Restaurant/Cafe/Shop,Pass,26/12/2025,Address_37,54000,Punjab,4.3,87.7,31.478348,74.37472
Noodle Palace,Restaurant/Cafe/Shop,Pass,08/08/2025,Address_38,54000,Punjab,2.2,68.8,31.581052,74.423816
Espresso Perk,Restaurant/Cafe/Shop,Pass,13/07/2024,Address_39,46000,Punjab,4.3,87.7,31.58269,74.249692
Masala Karahi,Restaurant/Cafe/Shop,Pass,21/08/2024,Address_40,46000,Punjab,3.5,80.5,31.460185,74.309585
Chinatown Kitchen,Restaurant/Cafe/Shop,Pass,07/05/2025,Address_41,55150,Punjab,4,85,31.651988,74.403948
Pasta Bolognese,Restaurant/Cafe/Shop,Pass,16/08/2024,Address_42,38000,Punjab,2.7,73.3,31.588001,74.412134
Morning Leaves,Restaurant/Cafe/Shop,Pass,04/04/2025,Address_43,46000,Punjab,2.7,73.3,31.579814,74.248557
Dynasty Blossom (1),Restaurant/Cafe/Shop,Pass,12/01/2025,Address_44,40100,Punjab,3.7,82.3,31.535466,74.366076
Chili Express,Restaurant/Cafe/Shop,Pass,25/10/2025,Address_45,55150,Punjab,1.1,58.9,31.430292,74.367817
Morning Bean,Restaurant/Cafe/Shop,Pass,29/08/2025,Address_46,40100,Punjab,2.6,72.4,31.56204,74.415646
Fast & Fry,Restaurant/Cafe/Shop,Pass,28/09/2024,Address_47,60000,Punjab,4.2,86.8,31.566135,74.254532
Jalapeno Burrito,Restaurant/Cafe/Shop,Pass,15/06/2024,Address_48,55150,Punjab,1.1,58.9,31.610706,74.344328
The Red Head,Restaurant/Cafe/Shop,Pass,06/12/2025,Address_49,55150,Punjab,3.5,80.5,31.648595,74.232356
Gyro Grill,Restaurant/Cafe/Shop,Awaiting Inspection,28/03/2024,Address_50,46000,Punjab,3.6,63.9,31.565144,74.234243
Canton Express,Restaurant/Cafe/Shop,Pass,13/01/2024,Address_51,38000,Punjab,2.7,73.3,31.58662,74.377786
The Pizza Coop,Restaurant/Cafe/Shop,Pass,30/07/2024,Address_52,38000,Punjab,2.3,69.7,31.529724,74.239503
Gusto Bella,Restaurant/Cafe/Shop,Pass,10/04/2024,Address_53,46000,Punjab,4.8,92.2,31.506209,74.350948
Plaza Cantina,Restaurant/Cafe/Shop,Awaiting Inspection,12/05/2025,Address_54,60000,Punjab,1.7,46.8,31.468783,74.465592
Sichuan Spice,Restaurant/Cafe/Shop,Pass,19/04/2025,Address_55,60000,Punjab,4.4,88.6,31.611653,74.32707
Moroccan Garden,Restaurant/Cafe/Shop,Pass,18/01/2025,Address_56,60000,Punjab,3.2,77.8,31.664791,74.284369
Solo Vita,Restaurant/Cafe/Shop,Pass,26/06/2025,Address_57,38000,Punjab,1.5,62.5,31.524042,74.246659
La Salsa Burrito,Restaurant/Cafe/Shop,Pass,25/11/2025,Address_58,55150,Punjab,3.2,77.8,31.421875,74.372719
Munchies Zone,Restaurant/Cafe/Shop,Pass,12/04/2025,Address_59,54000,Punjab,3.1,76.9,31.562394,74.286477
Trattoria Kitchen,Restaurant/Cafe/Shop,Pass,18/07/2024,Address_60,54000,Punjab,1.5,62.5,31.541851,74.470737
Pastry Bakehouse,Restaurant/Cafe/Shop,Awaiting Inspection,29/03/2024,Address_61,38000,Punjab,1.5,45,31.585652,74.225852
Plaza Burrito,Restaurant/Cafe/Shop,Pass,21/04/2024,Address_62,55150,Punjab,1.3,60.7,31.613198,74.294747
Brunch & Cozy,Restaurant/Cafe/Shop,Pass,25/09/2025,Address_63,54000,Punjab,4.2,86.8,31.578892,74.427818
Street Patties,Restaurant/Cafe/Shop,Improvement Required,13/12/2025,Address_64,60000,Punjab,3.7,68.3,31.508407,74.299644
Morning Junction,Restaurant/Cafe/Shop,Awaiting Inspection,31/03/2024,Address_65,55150,Punjab,3.8,65.7,31.432303,74.20559
El Taco Mexico,Restaurant/Cafe/Shop,Pass,25/11/2025,Address_66,38000,Punjab,1.3,60.7,31.559594,74.251474
Wrap Steaks (1),Restaurant/Cafe/Shop,Pass,20/01/2024,Address_67,38000,Punjab,2.1,67.9,31.463092,74.352128
Chopsticks Garden,Restaurant/Cafe/Shop,Pass,04/02/2024,Address_68,55150,Punjab,3.2,77.8,31.463629,74.44412
Sherwood Kitchen,Restaurant/Cafe/Shop,Pass,11/11/2024,Address_69,55150,Punjab,2.1,67.9,31.584316,74.203353
Crete Corner,Restaurant/Cafe/Shop,Pass,05/09/2025,Address_70,40100,Punjab,2.2,68.8,31.430908,74.310127
Wrap Patties,Restaurant/Cafe/Shop,Pass,24/10/2024,Address_71,60000,Punjab,4.5,89.5,31.41673,74.46411
Westminster Tavern,Restaurant/Cafe/Shop,Pass,09/03/2024,Address_72,40100,Punjab,3.5,80.5,31.403053,74.464833
Pizzeria Grill,Restaurant/Cafe/Shop,Pass,20/05/2024,Address_73,54000,Punjab,2.7,73.3,31.555296,74.28059
Queen's Eatery,Restaurant/Cafe/Shop,Pass,13/10/2024,Address_74,54000,Punjab,1.5,62.5,31.436743,74.243492
Street Hot Dog,Restaurant/Cafe/Shop,Pass,08/06/2025,Address_75,38000,Punjab,4,85,31.634079,74.214075
Senor Plaza,Restaurant/Cafe/Shop,Awaiting Inspection,21/03/2025,Address_76,38000,Punjab,2.3,52.2,31.506909,74.202123
Tandoori Biryani,Restaurant/Cafe/Shop,Improvement Required,13/09/2024,Address_77,55150,Punjab,4.7,77.3,31.514094,74.28906
Cornerstone Brew,Restaurant/Cafe/Shop,Improvement Required,21/09/2025,Address_78,38000,Punjab,3.8,69.2,31.438932,74.472977
Beans & Brew (2),Restaurant/Cafe/Shop,Pass,27/11/2025,Address_79,40100,Punjab,2,67,31.545002,74.316978
Greek Spot,Restaurant/Cafe/Shop,Pass,09/01/2024,Address_80,60000,Punjab,1.1,58.9,31.612662,74.426691
Falafel Delights,Restaurant/Cafe/Shop,Pass,21/10/2025,Address_81,40100,Punjab,4.6,90.4,31.435444,74.410966
Blue Mug Palace,Restaurant/Cafe/Shop,Pass,02/07/2025,Address_82,55150,Punjab,2.4,70.6,31.616344,74.403592
Aroma Dew,Restaurant/Cafe/Shop,Improvement Required,09/12/2025,Address_83,60000,Punjab,2.1,53.9,31.652603,74.399108
Daily House,Restaurant/Cafe/Shop,Pass,31/01/2024,Address_84,54000,Punjab,2.3,69.7,31.676943,74.261699
The Royal Head,Restaurant/Cafe/Shop,Pass,05/04/2025,Address_85,46000,Punjab,3.5,80.5,31.422334,74.294235
