BusinessName,Cuisine,DishName,DishRating,DishPrice
Restaurant_1,British,Beef Wellington,3.3,1800
Restaurant_1,British,Victoria Sponge,2.6,450
Restaurant_1,British,Fish & Chips,3.1,950
Restaurant_1,British,Beans on Toast,2.9,350
Restaurant_1,British,Sticky Toffee Pudding,3.2,400
Restaurant_1,British,Shepherd's Pie,2.7,1200
Restaurant_1,British,Full English Breakfast,3.7,850
Restaurant_1,British,Scotch Egg,3.0,380
Restaurant_2,South Asian,Palak Paneer,1.8,650
Restaurant_2,South Asian,Dal Makhani,1.3,550
Restaurant_2,South Asian,Garlic Naan,2.2,80
Restaurant_2,South Asian,Seekh Kebab,1.2,750
Restaurant_2,South Asian,Samosa,1.1,120
Restaurant_2,South Asian,Mango Lassi,1.9,250
Restaurant_2,South Asian,Chicken Tikka Masala,2.2,950
Restaurant_2,South Asian,Gulab Jamun,1.9,200
Restaurant_3,Italian,Risotto,1.3,1200
Restaurant_3,Italian,Margherita Pizza,1.0,900
Restaurant_3,Italian,Lasagne,1.0,1100
Restaurant_3,Italian,Tiramisu,1.4,600
Restaurant_3,Italian,Penne Arrabbiata,1.6,850
Restaurant_3,Italian,Pasta Carbonara,1.6,1000
Restaurant_4,British,Sticky Toffee Pudding,2.9,400
Restaurant_4,British,Jacket Potato,2.9,420
Restaurant_4,British,Shepherd's Pie,1.3,1200
Restaurant_4,British,Victoria Sponge,2.8,450
Restaurant_4,British,Cornish Pasty,1.8,500
Restaurant_4,British,Full English Breakfast,2.7,850
Restaurant_5,British,Beans on Toast,2.0,350
Restaurant_5,British,Jacket Potato,1.6,420
Restaurant_5,British,Full English Breakfast,2.2,850
Restaurant_5,British,Sticky Toffee Pudding,2.1,400
Restaurant_5,British,Beef Wellington,2.6,1800
Restaurant_5,British,Fish & Chips,2.9,950
Restaurant_5,British,Cornish Pasty,3.0,500
Restaurant_6,British,Full English Breakfast,4.1,850
Restaurant_6,British,Scotch Egg,4.1,380
Restaurant_6,British,Jacket Potato,3.4,420
Restaurant_6,British,Beef Wellington,3.5,1800
Restaurant_6,British,Cornish Pasty,3.6,500
Restaurant_6,British,Sticky Toffee Pudding,3.0,400
Restaurant_7,South Asian,Onion Bhaji,4.1,300
Restaurant_7,South Asian,Mango Lassi,3.2,250
Restaurant_7,South Asian,Seekh Kebab,3.5,750
Restaurant_7,South Asian,Dal Makhani,3.2,550
Restaurant_7,South Asian,Gulab Jamun,3.3,200
Restaurant_7,South Asian,Samosa,3.9,120
Restaurant_7,South Asian,Chicken Tikka Masala,2.9,950
Restaurant_7,South Asian,Garlic Naan,3.1,80
Restaurant_8,Mediterranean,Tzatziki,2.9,350
Restaurant_8,Mediterranean,Falafel Wrap,1.4,550
Restaurant_8,Mediterranean,Stuffed Vine Leaves,2.2,650
Restaurant_8,Mediterranean,Moussaka,1.7,1100
Restaurant_8,Mediterranean,Lamb Shawarma,3.0,900
Restaurant_8,Mediterranean,Tabbouleh,1.8,400
Restaurant_9,Mediterranean,Tzatziki,4.4,350
Restaurant_9,Mediterranean,Baklava,4.6,350
