BusinessName,BusinessType,RatingValue,InspectionDate,Address,PostCode,Province,user_rating,Hygiene_Score
Restaurant_1,Restaurant/Cafe/Shop,Pass,2024-12-17,Address_1,40100,Punjab,3.1,76.9
Restaurant_2,Restaurant/Cafe/Shop,Pass,2025-07-06,Address_2,46000,Punjab,1.8,65.2
Restaurant_3,Restaurant/Cafe/Shop,Pass,2025-06-16,Address_3,46000,Punjab,1.1,58.900000000000006
Restaurant_4,Restaurant/Cafe/Shop,Pass,2025-03-06,Address_4,60000,Punjab,2.3,69.7
Restaurant_5,Restaurant/Cafe/Shop,Pass,2024-06-10,Address_5,60000,Punjab,2.3,69.7
Restaurant_6,Restaurant/Cafe/Shop,Pass,2025-07-11,Address_6,46000,Punjab,4.0,85.0
Restaurant_7,Restaurant/Cafe/Shop,Pass,2024-02-14,Address_7,38000,Punjab,3.5,80.5
Restaurant_8,Restaurant/Cafe/Shop,Pass,2025-03-08,Address_8,40100,Punjab,2.2,68.80000000000001
Restaurant_9,Restaurant/Cafe/Shop,Pass,2024-04-04,Address_9,55150,Punjab,4.6,90.4
Restaurant_10,Restaurant/Cafe/Shop,Pass,2024-05-27,Address_10,60000,Punjab,1.1,58.900000000000006
Restaurant_11,Restaurant/Cafe/Shop,Pass,2025-10-11,Address_11,55150,Punjab,4.2,86.80000000000001
Restaurant_12,Restaurant/Cafe/Shop,Pass,2025-06-26,Address_12,54000,Punjab,2.6,72.4
Restaurant_13,Restaurant/Cafe/Shop,Improvement Required,2024-06-09,Address_13,46000,Punjab,1.1,44.900000000000006
Restaurant_14,Restaurant/Cafe/Shop,Pass,2025-01-10,Address_14,46000,Punjab,1.7,64.3
Restaurant_15,Restaurant/Cafe/Shop,Improvement Required,2025-04-10,Address_15,46000,Punjab,3.9,70.1
Restaurant_16,Restaurant/Cafe/Shop,Pass,2024-01-04,Address_16,46000,Punjab,4.3,87.7
Restaurant_17,Restaurant/Cafe/Shop,Pass,2024-07-23,Address_17,54000,Punjab,1.8,65.2
Restaurant_18,Restaurant/Cafe/Shop,Pass,2025-09-07,Address_18,46000,Punjab,1.4,61.599999999999994
Restaurant_19,Restaurant/Cafe/Shop,Pass,2025-08-26,Address_19,46000,Punjab,1.2,59.8
Restaurant_20,Restaurant/Cafe/Shop,Pass,2024-04-18,Address_20,54000,Punjab,3.2,77.8
Restaurant_21,Restaurant/Cafe/Shop,Pass,2024-10-20,Address_21,60000,Punjab,2.3,69.7
Restaurant_22,Restaurant/Cafe/Shop,Pass,2024-05-22,Address_22,55150,Punjab,2.1,67.9
Restaurant_23,Restaurant/Cafe/Shop,Improvement Required,2024-07-08,Address_23,54000,Punjab,2.8,60.199999999999996
Restaurant_24,Restaurant/Cafe/Shop,Improvement Required,2025-06-12,Address_24,60000,Punjab,1.8,51.2
Restaurant_25,Restaurant/Cafe/Shop,Pass,2024-07-06,Address_25,54000,Punjab,1.1,58.900000000000006
Restaurant_26,Restaurant/Cafe/Shop,Pass,2024-02-11,Address_26,46000,Punjab,3.8,83.2
Restaurant_27,Restaurant/Cafe/Shop,Pass,2024-11-01,Address_27,40100,Punjab,4.9,93.10000000000001
Restaurant_28,Restaurant/Cafe/Shop,Pass,2025-07-24,Address_28,40100,Punjab,1.4,61.599999999999994
Restaurant_29,Restaurant/Cafe/Shop,Pass,2025-09-18,Address_29,46000,Punjab,1.6,63.4
Restaurant_30,Restaurant/Cafe/Shop,Pass,2025-11-24,Address_30,38000,Punjab,4.8,92.2
Restaurant_31,Restaurant/Cafe/Shop,Pass,2024-11-17,Address_31,54000,Punjab,3.6,81.4
Restaurant_32,Restaurant/Cafe/Shop,Pass,2024-02-07,Address_32,60000,Punjab,3.1,76.9
Restaurant_33,Restaurant/Cafe/Shop,Pass,2024-02-26,Address_33,54000,Punjab,2.6,72.4
Restaurant_34,Restaurant/Cafe/Shop,Pass,2025-10-29,Address_34,60000,Punjab,2.7,73.3
Restaurant_35,Restaurant/Cafe/Shop,Pass,2024-06-25,Address_35,38000,Punjab,4.9,93.10000000000001
Restaurant_36,Restaurant/Cafe/Shop,Pass,2025-07-15,Address_36,54000,Punjab,1.0,58.0
Restaurant_37,Restaurant/Cafe/Shop,Pass,2025-12-26,Address_37,54000,Punjab,4.3,87.7
Restaurant_38,Restaurant/Cafe/Shop,Pass,2025-08-08,Address_38,54000,Punjab,2.2,68.80000000000001
Restaurant_39,Restaurant/Cafe/Shop,Pass,2024-07-13,Address_39,46000,Punjab,4.3,87.7
Restaurant_40,Restaurant/Cafe/Shop,Pass,2024-08-21,Address_40,46000,Punjab,3.5,80.5
Restaurant_41,Restaurant/Cafe/Shop,Pass,2025-05-07,Address_41,55150,Punjab,4.0,85.0
Restaurant_42,Restaurant/Cafe/Shop,Pass,2024-08-16,Address_42,38000,Punjab,2.7,73.3
Restaurant_43,Restaurant/Cafe/Shop,Pass,2025-04-04,Address_43,46000,Punjab,2.7,73.3
Restaurant_44,Restaurant/Cafe/Shop,Pass,2025-01-12,Address_44,40100,Punjab,3.7,82.30000000000001
Restaurant_45,Restaurant/Cafe/Shop,Pass,2025-10-25,Address_45,55150,Punjab,1.1,58.900000000000006
Restaurant_46,Restaurant/Cafe/Shop,Pass,2025-08-29,Address_46,40100,Punjab,2.6,72.4
Restaurant_47,Restaurant/Cafe/Shop,Pass,2024-09-28,Address_47,60000,Punjab,4.2,86.80000000000001
Restaurant_48,Restaurant/Cafe/Shop,Pass,2024-06-15,Address_48,55150,Punjab,1.1,58.900000000000006
Restaurant_49,Restaurant/Cafe/Shop,Pass,2025-12-06,Address_49,55150,Punjab,3.5,80.5
Restaurant_50,Restaurant/Cafe/Shop,Awaiting Inspection,2024-03-28,Address_50,46000,Punjab,3.6,63.9
Restaurant_51,Restaurant/Cafe/Shop,Pass,2024-01-13,Address_51,38000,Punjab,2.7,73.3
Restaurant_52,Restaurant/Cafe/Shop,Pass,2024-07-30,Address_52,38000,Punjab,2.3,69.7
Restaurant_53,Restaurant/Cafe/Shop,Pass,2024-04-10,Address_53,46000,Punjab,4.8,92.2
Restaurant_54,Restaurant/Cafe/Shop,Awaiting Inspection,2025-05-12,Address_54,60000,Punjab,1.7,46.8
Restaurant_55,Restaurant/Cafe/Shop,Pass,2025-04-19,Address_55,60000,Punjab,4.4,88.60000000000001
Restaurant_56,Restaurant/Cafe/Shop,Pass,2025-01-18,Address_56,60000,Punjab,3.2,77.8
Restaurant_57,Restaurant/Cafe/Shop,Pass,2025-06-26,Address_57,38000,Punjab,1.5,62.5
Restaurant_58,Restaurant/Cafe/Shop,Pass,2025-11-25,Address_58,55150,Punjab,3.2,77.8
Restaurant_59,Restaurant/Cafe/Shop,Pass,2025-04-12,Address_59,54000,Punjab,3.1,76.9
Restaurant_60,Restaurant/Cafe/Shop,Pass,2024-07-18,Address_60,54000,Punjab,1.5,62.5
Restaurant_61,Restaurant/Cafe/Shop,Awaiting Inspection,2024-03-29,Address_61,38000,Punjab,1.5,45.0
Restaurant_62,Restaurant/Cafe/Shop,Pass,2024-04-21,Address_62,55150,Punjab,1.3,60.7
Restaurant_63,Restaurant/Cafe/Shop,Pass,2025-09-25,Address_63,54000,Punjab,4.2,86.80000000000001
Restaurant_64,Restaurant/Cafe/Shop,Improvement Required,2025-12-13,Address_64,60000,Punjab,3.7,68.30000000000001
Restaurant_65,Restaurant/Cafe/Shop,Awaiting Inspection,2024-03-31,Address_65,55150,Punjab,3.8,65.7
Restaurant_66,Restaurant/Cafe/Shop,Pass,2025-11-25,Address_66,38000,Punjab,1.3,60.7
Restaurant_67,Restaurant/Cafe/Shop,Pass,2024-01-20,Address_67,38000,Punjab,2.1,67.9
Restaurant_68,Restaurant/Cafe/Shop,Pass,2024-02-04,Address_68,55150,Punjab,3.2,77.8
Restaurant_69,Restaurant/Cafe/Shop,Pass,2024-11-11,Address_69,55150,Punjab,2.1,67.9
Restaurant_70,Restaurant/Cafe/Shop,Pass,2025-09-05,Address_70,40100,Punjab,2.2,68.80000000000001
Restaurant_71,Restaurant/Cafe/Shop,Pass,2024-10-24,Address_71,60000,Punjab,4.5,89.5
Restaurant_72,Restaurant/Cafe/Shop,Pass,2024-03-09,Address_72,40100,Punjab,3.5,80.5
Restaurant_73,Restaurant/Cafe/Shop,Pass,2024-05-20,Address_73,54000,Punjab,2.7,73.3
Restaurant_74,Restaurant/Cafe/Shop,Pass,2024-10-13,Address_74,54000,Punjab,1.5,62.5
Restaurant_75,Restaurant/Cafe/Shop,Pass,2025-06-08,Address_75,38000,Punjab,4.0,85.0
Restaurant_76,Restaurant/Cafe/Shop,Awaiting Inspection,2025-03-21,Address_76,38000,Punjab,2.3,52.2
Restaurant_77,Restaurant/Cafe/Shop,Improvement Required,2024-09-13,Address_77,55150,Punjab,4.7,77.30000000000001
Restaurant_78,Restaurant/Cafe/Shop,Improvement Required,2025-09-21,Address_78,38000,Punjab,3.8,69.2
Restaurant_79,Restaurant/Cafe/Shop,Pass,2025-11-27,Address_79,40100,Punjab,2.0,67.0
Restaurant_80,Restaurant/Cafe/Shop,Pass,2024-01-09,Address_80,60000,Punjab,1.1,58.900000000000006
Restaurant_81,Restaurant/Cafe/Shop,Pass,2025-10-21,Address_81,40100,Punjab,4.6,90.4
Restaurant_82,Restaurant/Cafe/Shop,Pass,2025-07-02,Address_82,55150,Punjab,2.4,70.6
Restaurant_83,Restaurant/Cafe/Shop,Improvement Required,2025-12-09,Address_83,60000,Punjab,2.1,53.900000000000006
Restaurant_84,Restaurant/Cafe/Shop,Pass,2024-01-31,Address_84,54000,Punjab,2.3,69.7
Restaurant_85,Restaurant/Cafe/Shop,Pass,2025-04-05,Address_85,46000,Punjab,3.5,80.5
Restaurant_86,Restaurant/Cafe/Shop,Awaiting Inspection,2024-07-12,Address_86,46000,Punjab,3.3,61.199999999999996
Restaurant_87,Restaurant/Cafe/Shop,Pass,2025-03-03,Address_87,60000,Punjab,1.4,61.599999999999994
Restaurant_88,Restaurant/Cafe/Shop,Pass,2024-11-06,Address_88,38000,Punjab,4.8,92.2
Restaurant_89,Restaurant/Cafe/Shop,Improvement Required,2024-12-28,Address_89,54000,Punjab,4.4,74.60000000000001
Restaurant_90,Restaurant/Cafe/Shop,Pass,2025-09-08,Address_90,54000,Punjab,5.0,94.0
Restaurant_91,Restaurant/Cafe/Shop,Pass,2024-11-19,Address_91,46000,Punjab,2.9,75.1
Restaurant_92,Restaurant/Cafe/Shop,Pass,2025-02-11,Address_92,40100,Punjab,4.0,85.0
Restaurant_93,Restaurant/Cafe/Shop,Pass,2025-07-18,Address_93,46000,Punjab,2.4,70.6
